question,context,lang,answerable,answer_start,answer,answer_inlang,had_good_te,will_be_pseudo
ప్రపంచంలో  మొట్టమొదటి దూర విద్య విద్యాలయం ఏ దేశంలో స్థాపించబడింది ?,"Referred to as ""People's University"" by Charles Dickens because it provided access to higher education to students from less affluent backgrounds, the External Programme was chartered by Queen Victoria in 1858, making the University of London the first university to offer distance learning degrees to students. Enrollment increased steadily during the late 19th century, and its example was widely copied elsewhere. This program is now known as the University of London International Programme and includes Postgraduate, Undergraduate and Diploma degrees created by colleges such as the London School of Economics, Royal Holloway and Goldsmiths.
In the United States, William Rainey Harper, first president of the University of Chicago, celebrated the concept of extended education, whereby the research university had satellite colleges in the wider community.",te,True,236,London,లండన్,False,True
1959వ సంవత్సరంలో భారతదేశ ప్రధాన మంత్రి  ఎవరు?,"Since 1947, there have been 14 different prime ministers. The first few decades after 1947 saw the Indian National Congress' (INC) almost complete domination over the political map of India. India's first prime minister—Jawaharlal Nehru—took oath on 15 August 1947. Nehru went on to serve as prime minister for 17 consecutive years, winning four general elections in the process. His tenure ended in May 1964, on his death. After the death of Nehru, Lal Bahadur Shastri—a former home minister and a leader of the Congress party—ascended to the position of prime minister. Shastri's tenure saw the Indo-Pakistani War of 1965. Shashtri subsequently died of a reported heart attack in Tashkent, after signing the Tashkent Declaration.",te,True,220,Jawaharlal Nehru,జవహర్లాల్ నెహ్రూ,False,True
ఏ కాకతీయ రాజు కర్నూలు జిల్లాను చివరిగా పాలించాడు?,"Rani Rudrama Devi (died 1289 or 1295), who defended the Kakatiya kingdom against the Cholas and the Seuna Yadavas, is one of the few queens in Indian history. She was succeeded by her grandson, Prataparudra. Although his reign was characterized by battles against internal and external foes, Prataparudra expanded his kingdom west to Raichur and south to Ongole and the Nallamala Hills. He introduced a number of administrative reforms, some of which were adopted in the Vijayanagar empire. Muslim attacks began in 1310, and in 1323 the Kakatiya dynasty fell to the Delhi Sultanate.",te,True,194,Prataparudra,ప్రతాపముద్ర,False,True
మానవ హక్కులు ఎన్ని?,"The Declaration consists of 30 articles affirming an individual's rights which, although not legally binding in themselves, have been elaborated in subsequent international treaties, economic transfers, regional human rights instruments, national constitutions, and other laws. The Declaration was the first step in the process of formulating the International Bill of Human Rights, which was completed in 1966, and came into force in 1976, after a sufficient number of countries had ratified them.",te,True,28,30,30,False,True
భారదేశంలో అత్యధిక జనాభా కలిగిన రాష్ట్రం ఏది?,"Uttar Pradesh (; IAST: ""Uttar Pradeś"" ) is a state in northern India. Abbreviated as UP, it is the most populous state in the Republic of India as well as the most populous country subdivision in the world. It is located in the northern region of the Indian subcontinent, has over 200 million inhabitants. It was created on 1 April 1937 as the United Provinces of Agra and Oudh during British rule, and was renamed ""Uttar Pradesh"" in 1950. The state is divided into 18 divisions and 75 districts with the capital being Lucknow. The main ethnic group is the Hindavi people, forming the demographic plurality. On 9 November 2000, a new state, Uttarakhand, was carved out from the state's Himalayan hill region. The two major rivers of the state, the Ganga and Yamuna, join at Allahabad (Prayagraj) and then flow as the Ganges further east. Hindi is the most widely spoken language and is also the official language of the state.",te,True,0,Uttar Pradesh,ఉత్తర ప్రదేశ్,False,True
భగవద్గీత ఏ మతస్తులకు పవిత్ర గ్రంథము?,"The Bhagavad Gita (; , IAST: ', lit. ""The Song of God""), often referred to as the Gita""', is a 700-verse Sanskrit scripture that is part of the Hindu epic ""Mahabharata"" (chapters 23–40 of Bhishma Parva).",te,True,144,Hindu,హిందూ,False,True
బాల కార్మిక నిరోధక చట్టం ఎప్పుడు ప్రవేశపెట్టారు?,"As per the Child Labour (Prohibition and Regulation) Act, 1986, amended in 2016 (""CLPR Act""), a ""Child"" is defined as any person below the age of 14, and the CLPR Act prohibits employment of a Child in any employment including as a domestic help. It is a cognizable criminal offence to employ a Child for any work. Children between age of 14 and 18 are defined as ""Adolescent"" and the law allows Adolescent to be employed except in the listed hazardous occupation and processes which include mining, inflammable substance and explosives related work and any other hazardous process as per the Factories Act, 1948. In 2001, an estimated 1% of all child workers, or about 120,000 children in India were in a hazardous job. Notably, the Constitution of India prohibits child labour in hazardous industries (but not in non-hazardous industries) as a Fundamental Right under Article 24. UNICEF estimates that India with its larger population, has the highest number of labourers in the world under 14 years of age, while sub-Saharan African countries have the highest percentage of children who are deployed as child labourers. The International Labour Organization estimates that agriculture, at 60 percent, is the largest employer of child labour in the world, while the United Nation's Food and Agriculture Organization estimates 70% of child labour is deployed in agriculture and related activities. Outside of agriculture, child labour is observed in almost all informal sectors of the Indian economy.",te,True,58,1986,1986,False,True
బ్రిటిష్ దేశ మొట్టమొదటి ప్రధానమంత్రి ఎవరు?,"Robert Walpole, 1st Earl of Orford, (26 August 1676 – 18 March 1745), known before 1742 as Sir Robert Walpole, was a British who is generally regarded as the ""de facto"" first Prime Minister of Great Britain.",te,True,0,Robert Walpole,రాబర్ట్ వాల్పోల్,False,True
దీవులు అంటే ఏంటి?,"An island or isle is any piece of sub-continental land that is surrounded by water. Very small islands such as emergent land features on atolls can be called islets, skerries, cays or keys. An island in a river or a lake island may be called an eyot or ait, and a small island off the coast may be called a holm. A grouping of geographically or geologically related islands is called an archipelago, such as the Philippines.",te,True,21,any piece of sub-continental land that is surrounded by water,నీటితో చుట్టుముట్టబడిన సబ్ కాంటినెంటల్ భూమి యొక్క ఏదైనా భాగాన్ని,False,True
అలెగ్జాండ్రియా ఏ దేశంలో ఉంది?,"Alexandria ( or ; ; ; or ) is the second-largest city in Egypt and a major economic centre, extending about along the coast of the Mediterranean Sea in the north central part of the country. Its low elevation on the Nile delta makes it highly vulnerable to rising sea levels. Alexandria is an important industrial center because of its natural gas and oil pipelines from Suez. Alexandria is also a popular tourist destination.",te,True,57,Egypt,ఈజిప్టు,False,True
బాక్టీరియాలను అధ్యయనం చేసే శాస్త్రం ఏంటి?,"Bacteriology is the branch and specialty of biology that studies the morphology, ecology, genetics and biochemistry of bacteria as well as many other aspects related to them. This subdivision of microbiology involves the identification, classification, and characterization of bacterial species. Because of the similarity of thinking and working with microorganisms other than bacteria, such as protozoa, fungi, and viruses, there has been a tendency for the field of bacteriology to extend as microbiology. The terms were formerly often used interchangeably. However, bacteriology can be classified as a distinct science.",te,True,0,Bacteriology,బాక్టీరియాలజీ,False,True
శ్రీ పొట్టి శ్రీరాములు నెల్లూరు జిల్లాలో అధికంగా పండే పంట ఏది?,"The Gross District Domestic Product (GDDP) of the district is and it contributes 5.8% to the Gross State Domestic Product (GSDP). For the FY 2013-14, the per capita income at current prices was . The primary, secondary and tertiary sectors of the district contribute , and respectively. The major products contributing to the GVA of the district from agriculture and allied services are, paddy, sugarcane, lemon, tomato, milk, meat and fisheries. The GVA to the industrial and service sector is contributed from construction, electricity, manufacturing, transport and education.",te,True,388,"paddy, sugarcane, lemon, tomato","ధాన్యం, చక్కెర గంజాయి, రెమ్మ, టమోటా",False,True
భారతదేశ 1వ రాష్ట్రపతి ఎవరు?,"Rajendra Prasad (3 December 1884 – 28 February 1963) was the first President of India, in office from 1952 to 1962. He was an Indian political leader, and lawyer by training, Prasad joined the Indian National Congress during the Indian Independence Movement and became a major leader from the region of Bihar. A supporter of Mahatma Gandhi, Prasad was imprisoned by British authorities during the Salt Satyagraha of 1931 and the Quit India movement of 1942. After the 1946 elections, Prasad served as Minister of Food and Agriculture in the central government. Upon independence in 1947, Prasad was elected as President of the Constituent Assembly of India, which prepared the Constitution of India and served as its provisional parliament.",te,True,0,Rajendra Prasad (3 December 1884 – 28 February 1963) was the first President of India,రాజేంద్ర ప్రసాద్ (3 డిసెంబర్ 1884  28 ఫిబ్రవరి 1963) భారతదేశపు మొదటి అధ్యక్షుడు,False,True
